price,city,area,district,bedrooms,apartment,bathrooms,furnished,kitchen,floor,air_condition,source
90000,مدينة الرياض,825,حي النرجس,3,شقة,4,No,Yes,2,No,aqar
55000,مدينة الرياض,420,حي القيروان,3,شقة,2,No,Yes,2,Yes,aqar
18000,مدينة امارة منطقة مكة المكرمة - الطائف,150,حي القطبية الغربية,3,شقة,1,No,Yes,3,No,aqar
65000,مدينة الرياض,153,حي الأندلس,3,شقة,3,No,Yes,2,Yes,aqar
95000,مدينة الرياض,134,حي الربيع,,شقة,3,No,Yes,Unknown,Yes,aqar
40000,مدينة الرياض,1050,حي المهدية,4,شقة,0,No,Yes,Unknown,Yes,aqar
75000,مدينة الرياض,159,حي الملقا,3,شقة,3,No,Yes,1,Yes,aqar
38000,مدينة الرياض,540,حي العارض,3,شقة,2,No,Yes,2,No,aqar
60000,مدينة الرياض,500,حي المونسية,2,شقة,4,No,Yes,1,Yes,aqar
75000,مدينة الرياض,166,حي غرناطة,3,شقة,2,Yes,Yes,3,Yes,aqar
34000,مدينة الرياض,175,حي النزهة,1,شقة,1,No,Yes,Unknown,No,aqar
30000,مدينة الرياض,100,حي إشبيلية,,شقة,1,No,Yes,Unknown,Yes,aqar
100000,مدينة الرياض,70,حي العقيق,2,شقة,2,No,No,1,No,aqar
60000,مدينة الرياض,480,حي النرجس,3,شقة,3,No,Yes,2,Yes,aqar
36000,مدينة الرياض,70,حي الفلاح,1,شقة,1,No,Yes,Unknown,Yes,aqar
28000,مدينة الرياض,65,حي الملك سلمان,1,شقة,1,No,Yes,1,Yes,aqar
26000,مدينة الرياض,70,حي العارض,1,شقة,1,No,Yes,1,Yes,aqar
70000,مدينة الرياض,129,حي النرجس,3,شقة,3,No,Yes,3,Yes,aqar
23000,مدينة الرياض,50,حي اليرموك,1,شقة,1,No,Yes,2,Yes,aqar
102000,مدينة الرياض,153,حي قرطبة,2,شقة,2,No,Yes,3,No,aqar
38000,مدينة الرياض,1276,حي القادسية,1,شقة,1,No,Yes,2,Yes,aqar
28000,مدينة الرياض,70,حي العارض,1,شقة,1,No,Yes,1,No,aqar
75000,مدينة الرياض,159,حي الياسمين,4,شقة,3,No,Yes,2,Yes,aqar
60000,مدينة الرياض,270,حي المونسية,3,شقة,2,No,Yes,2,Yes,aqar
33600,مدينة الرياض,376,حي البيان,3,شقة,2,No,Yes,3,No,aqar
75000,مدينة الرياض,1048,حي النرجس,3,شقة,3,No,Yes,Unknown,Yes,aqar
3500,مدينة امارة منطقة مكة المكرمة - الطائف,200,حي القطبية الغربية,4,شقة,2,No,Yes,1,No,aqar
65000,مدينة الرياض,850,حي الملقا,3,شقة,2,No,Yes,Unknown,Yes,aqar
43000,مدينة الرياض,200,حي الملقا,,شقة,1,No,Yes,Unknown,No,aqar
50000,مدينة الرياض,137,حي قرطبة,4,شقة,3,No,Yes,3,Yes,aqar
33000,مدينة الرياض,200,حي طويق,3,شقة,2,No,No,3,No,aqar
100000,مدينة الرياض,460,حي الرحمانية,3,شقة,1,No,Yes,1,Yes,aqar
85000,مدينة الرياض,144,حي المونسية,4,شقة,4,No,Yes,1,No,aqar
100000,مدينة الرياض,718,حي النرجس,3,شقة,3,No,Yes,Unknown,No,aqar
47000,مدينة الرياض,100,حي العليا,2,شقة,1,No,Yes,1,Yes,aqar
84000,مدينة الرياض,180,حي الندى,1,شقة,2,No,Yes,Unknown,No,aqar
85000,مدينة الرياض,93,حي الصحافة,2,شقة,3,No,Yes,1,Yes,aqar
26000,مدينة جدة,75,حي النزهة,2,شقة,1,Yes,Yes,2,No,aqar
75000,مدينة الرياض,113,حي النرجس,3,شقة,0,No,Yes,Unknown,Yes,aqar
65000,مدينة الرياض,197,حي العارض,2,شقة,4,No,No,2,Yes,aqar
70000,مدينة الرياض,1201,حي الفلاح,4,شقة,2,No,Yes,2,Yes,aqar
45000,مدينة جدة,217,حي الأصيل,4,شقة,1,No,No,1,No,aqar
80000,مدينة الرياض,121,حي الياسمين,3,شقة,3,No,Yes,2,Yes,aqar
35000,مدينة الرياض,481,حي المهدية,3,شقة,2,No,Yes,3,No,aqar
80000,مدينة الرياض,597,حي النرجس,3,شقة,3,No,Yes,2,Yes,aqar
55000,مدينة جدة,224,حي الأصيل,6,شقة,4,No,Yes,7,Yes,aqar
38000,مدينة الرياض,175,حي النزهة,1,شقة,0,No,Yes,Unknown,No,aqar
48000,مدينة الرياض,192,حي مطار الملك خالد الدولي,1,شقة,1,Yes,Yes,Unknown,No,aqar
44000,مدينة الرياض,150,حي العقيق,2,شقة,1,No,Yes,Unknown,No,aqar
29000,مدينة الرياض,70,حي الصحافة,1,شقة,1,No,Yes,2,Yes,aqar
65000,مدينة الرياض,396,حي قرطبة,3,شقة,3,No,Yes,2,Yes,aqar
67000,مدينة الرياض,550,حي العارض,,شقة,3,No,Yes,1,No,aqar
21000,مدينة جدة,546,حي البوادي,2,شقة,2,No,Yes,2,No,aqar
45000,مدينة الرياض,138,حي العارض,4,شقة,2,No,Yes,3,Yes,aqar
38000,مدينة جدة,124,حي الصواري,4,شقة,3,No,Yes,2,No,aqar
120000,مدينة الرياض,489,حي الياسمين,3,شقة,3,Yes,Yes,1,No,aqar
33000,مدينة الرياض,160,حي الوادي,1,شقة,0,No,Yes,Unknown,Yes,aqar
60000,مدينة الرياض,264,حي الياسمين,3,شقة,3,No,Yes,3,Yes,aqar
70000,مدينة الرياض,179,حي المونسية,3,شقة,0,No,No,Unknown,No,aqar
50000,مدينة الدمام,142,حي السيف,4,شقة,3,No,No,2,No,aqar
206400,مدينة الرياض,160,حي المؤتمرات,2,شقة,2,No,Yes,2,Yes,aqar
37000,مدينة الرياض,100,حي الغدير,1,شقة,1,No,Yes,1,No,aqar
40000,مدينة الرياض,102,حي المصيف,2,شقة,2,No,Yes,1,Yes,aqar
85000,مدينة الخبر,182,حي الروابي,3,شقة,4,Yes,Yes,Unknown,No,aqar
30000,مدينة الرياض,462,حي المهدية,3,شقة,1,No,Yes,2,No,aqar
70000,مدينة الرياض,142,حي العارض,3,شقة,4,No,Yes,2,No,aqar
30000,مدينة الرياض,870,حي النهضة,2,شقة,1,No,Yes,1,Yes,aqar
10800,مدينة الدمام,175,حي الشعلة,1,شقة,1,No,No,2,Yes,aqar
70000,مدينة الرياض,224,حي النرجس,3,شقة,3,No,Yes,1,Yes,aqar
35000,مدينة الرياض,250,حي الصحافة,1,شقة,1,No,Yes,1,No,aqar
40000,مدينة الرياض,340,حي الرمال,2,شقة,2,No,Yes,2,Yes,aqar
72000,مدينة الرياض,100,حي النرجس,3,شقة,2,Yes,Yes,1,Yes,aqar
70000,مدينة الرياض,125,حي العارض,3,شقة,2,No,Yes,Unknown,Yes,aqar
42000,مدينة الرياض,50,حي العقيق,1,شقة,1,No,Yes,1,Yes,aqar
80000,مدينة الرياض,101,حي الغدير,3,شقة,3,No,Yes,1,Yes,aqar
44000,مدينة الرياض,95,حي الرمال,3,شقة,2,No,Yes,2,Yes,aqar
68000,مدينة الرياض,162,حي المونسية,4,شقة,4,No,Yes,Unknown,Yes,aqar
60000,مدينة الرياض,90,حي النزهة,2,شقة,1,Yes,Yes,2,No,aqar
6500,مدينة الرياض,120,حي الملقا,2,شقة,0,Yes,Yes,Unknown,Yes,aqar
84000,مدينة الرياض,1468,حي الوزارات,1,شقة,1,Yes,Yes,4,No,aqar
65000,مدينة الرياض,135,حي العارض,3,شقة,3,No,Yes,2,No,aqar
3500,مدينة الرياض,120,حي الرمال,,شقة,0,Yes,Yes,Unknown,Yes,aqar
35000,مدينة الرياض,1050,حي المهدية,4,شقة,2,No,Yes,2,No,aqar
54000,مدينة الرياض,178,حي أم الحمام الغربي,1,شقة,1,No,Yes,Unknown,No,aqar
35000,مدينة الرياض,60,حي المرسلات,1,شقة,1,No,Yes,2,Yes,aqar
29000,مدينة الرياض,90,حي النرجس,2,شقة,1,No,Yes,Unknown,No,aqar
44000,مدينة الرياض,114,حي النرجس,3,شقة,3,No,Yes,3,No,aqar
150000,مدينة الرياض,131,حي الملقا,3,شقة,4,Yes,Yes,3,Yes,aqar
45000,مدينة الرياض,2200,حي الحمراء,3,شقة,1,No,Yes,1,Yes,aqar
3500,مدينة الرياض,128,حي المونسية,1,شقة,1,Yes,No,1,No,aqar
